First Name,Last Name,Email,Employment Status,ID
Bella,Ortega,bella.ortega@certnif.co,"Employee - FT",498
Carlos,Fitzgerald,carlos.fitzgerald@certnif.co,"Contractor",499
Diana,Nguyen,diana.nguyen@certnif.co,"Employee - FT",500
Ethan,Kowalski,ethan.kowalski@certnif.co,"Employee - PT",501
Fiona,Blackwell,fiona.blackwell@certnif.co,"Employee - FT",502
George,Anand,george.anand@certnif.co,"Contractor",503
Hannah,Leclair,hannah.leclair@certnif.co,"Employee - FT",504
Ian,Moreau,ian.moreau@certnif.co,"Employee - PT",505
Julia,Santos,julia.santos@certnif.co,"Employee - FT",506
Kyle,Obrien,kyle.obrien@certnif.co,"Contractor",507
Laura,Petrov,laura.petrov@certnif.co,"Employee - FT",508
Mohammed,Farooq,mohammed.farooq@certnif.co,"Employee - PT",509
Nadia,Eriksson,nadia.eriksson@certnif.co,"Employee - FT",510
Patrick,Molina,patrick.molina@certnif.co,"Contractor",511
Rosa,Andersen,rosa.andersen@certnif.co,"Employee - FT",512
Stefan,Okonkwo,stefan.okonkwo@certnif.co,"Employee - PT",513
Tamara,Reyes,tamara.reyes@certnif.co,"Employee - FT",514
Uri,Blum,uri.blum@certnif.co,"Contractor",515
Vanessa,Cheng,vanessa.cheng@certnif.co,"Employee - FT",516
Walter,Dupont,walter.dupont@certnif.co,"Employee - PT",517
Xiomara,Reid,xiomara.reid@certnif.co,"Employee - FT",518
Yasmine,Bouchard,yasmine.bouchard@certnif.co,"Contractor",519
Zachary,Nwosu,zachary.nwosu@certnif.co,"Employee - FT",520
Alicia,Marsh,alicia.marsh@certnif.co,"Employee - PT",521
Boris,Tanaka,boris.tanaka@certnif.co,"Employee - FT",522
Chloe,Decker,chloe.decker@certnif.co,"Contractor",523
Daniel,Ferreira,daniel.ferreira@certnif.co,"Employee - FT",524
Elena,Vasquez,elena.vasquez@certnif.co,"Employee - PT",525
Felix,Hawkins,felix.hawkins@certnif.co,"Employee - FT",526
Grace,Mbeki,grace.mbeki@certnif.co,"Contractor",527
Hugo,Lindqvist,hugo.lindqvist@certnif.co,"Employee - FT",528
Irene,Castillo,irene.castillo@certnif.co,"Employee - PT",529
James,Woolley,james.woolley@certnif.co,"Employee - FT",530
Kira,Papadopoulos,kira.papadopoulos@certnif.co,"Contractor",531
Liam,Obasi,liam.obasi@certnif.co,"Employee - FT",532
Maya,Hoffman,maya.hoffman@certnif.co,"Employee - PT",533
Noah,Petersen,noah.petersen@certnif.co,"Employee - FT",534
Olivia,Watts,olivia.watts@certnif.co,"Contractor",535
Paul,Guerrero,paul.guerrero@certnif.co,"Employee - FT",536
Quinn,Nakagawa,quinn.nakagawa@certnif.co,"Employee - PT",537
Rebecca,Joensen,rebecca.joensen@certnif.co,"Employee - FT",538
Simon,Adebayo,simon.adebayo@certnif.co,"Contractor",539
Theresa,Magnusson,theresa.magnusson@certnif.co,"Employee - FT",540
Uma,Krishnaswamy,uma.krishnaswamy@certnif.co,"Employee - PT",541
Victor,Olsson,victor.olsson@certnif.co,"Employee - FT",542
Wendy,Chakraborty,wendy.chakraborty@certnif.co,"Contractor",543
Xander,Morales,xander.morales@certnif.co,"Employee - FT",544
Yara,Stenback,yara.stenback@certnif.co,"Employee - PT",545
Zara,Hutchinson,zara.hutchinson@certnif.co,"Employee - FT",546
Alexei,Volkov,alexei.volkov@certnif.co,"Contractor",547
Bianca,Tremblay,bianca.tremblay@certnif.co,"Employee - FT",548
Cole,Ashford,cole.ashford@certnif.co,"Employee - PT",549
Dina,Yamamoto,dina.yamamoto@certnif.co,"Employee - FT",550
Eli,Brandt,eli.brandt@certnif.co,"Contractor",551
Freya,Oduya,freya.oduya@certnif.co,"Employee - FT",552
Glen,Rafferty,glen.rafferty@certnif.co,"Employee - PT",553
Hana,Suzuki,hana.suzuki@certnif.co,"Employee - FT",554
Ivan,Korhonen,ivan.korhonen@certnif.co,"Contractor",555
Jasmine,Owens,jasmine.owens@certnif.co,"Employee - FT",556
Kent,Vieira,kent.vieira@certnif.co,"Employee - PT",557
Lily,Mcallister,lily.mcallister@certnif.co,"Employee - FT",558
Marco,Desjardins,marco.desjardins@certnif.co,"Contractor",559
Nora,Abdi,nora.abdi@certnif.co,"Employee - FT",560
